table_name,index_name,index_type,columns,non_unique,raw_definition,module_guess
equipment_status_history,idx_esh_actor,INDEX,transitioned_by,YES,ADD KEY `idx_esh_actor` (`transitioned_by`),Equipment / Instruments
export_audit,PRIMARY,PRIMARY,export_id,NO,ADD PRIMARY KEY (`export_id`),Audit / Security
export_audit,idx_ea_actor,INDEX,actor_employee_id|occurred_at,YES,"ADD KEY `idx_ea_actor` (`actor_employee_id`,`occurred_at`)",Audit / Security
export_audit,idx_ea_type,INDEX,export_type|occurred_at,YES,"ADD KEY `idx_ea_type` (`export_type`,`occurred_at`)",Audit / Security
export_audit,idx_ea_time,INDEX,occurred_at,YES,ADD KEY `idx_ea_time` (`occurred_at`),Audit / Security
job_request_accessories,PRIMARY,PRIMARY,acc_id,NO,ADD PRIMARY KEY (`acc_id`),Job Requests
job_request_accessories,idx_jra_jr_pos,INDEX,jr_no|position,YES,"ADD KEY `idx_jra_jr_pos` (`jr_no`,`position`)",Job Requests
job_request_status_history,PRIMARY,PRIMARY,history_id,NO,ADD PRIMARY KEY (`history_id`),Job Requests
job_request_status_history,fk_jrsh_actor,INDEX,transitioned_by,YES,ADD KEY `fk_jrsh_actor` (`transitioned_by`),Job Requests
job_request_status_history,idx_jrsh_jr_time,INDEX,jr_no|transitioned_at,YES,"ADD KEY `idx_jrsh_jr_time` (`jr_no`,`transitioned_at`)",Job Requests
job_request_status_history,idx_jrsh_time,INDEX,transitioned_at,YES,ADD KEY `idx_jrsh_time` (`transitioned_at`),Job Requests
login_audit,PRIMARY,PRIMARY,audit_id,NO,ADD PRIMARY KEY (`audit_id`),Auth & RBAC
login_audit,idx_la_emp_time,INDEX,employee_id|attempt_at,YES,"ADD KEY `idx_la_emp_time` (`employee_id`,`attempt_at`)",Auth & RBAC
login_audit,idx_la_time,INDEX,attempt_at,YES,ADD KEY `idx_la_time` (`attempt_at`),Auth & RBAC
login_audit,idx_la_outcome,INDEX,outcome|attempt_at,YES,"ADD KEY `idx_la_outcome` (`outcome`,`attempt_at`)",Auth & RBAC
permissions,PRIMARY,PRIMARY,permission_id,NO,ADD PRIMARY KEY (`permission_id`),Auth & RBAC
permissions,uk_perm_code,UNIQUE,permission_code,NO,ADD UNIQUE KEY `uk_perm_code` (`permission_code`),Auth & RBAC
permissions,idx_perm_resource,INDEX,resource,YES,ADD KEY `idx_perm_resource` (`resource`),Auth & RBAC
refresh_tokens,PRIMARY,PRIMARY,token_id,NO,ADD PRIMARY KEY (`token_id`),Auth & RBAC
refresh_tokens,uk_rt_hash,UNIQUE,token_hash,NO,ADD UNIQUE KEY `uk_rt_hash` (`token_hash`),Auth & RBAC
refresh_tokens,idx_rt_user_expires,INDEX,user_id|expires_at,YES,"ADD KEY `idx_rt_user_expires` (`user_id`,`expires_at`)",Auth & RBAC
refresh_tokens,idx_rt_expires,INDEX,expires_at,YES,ADD KEY `idx_rt_expires` (`expires_at`),Auth & RBAC
roles,PRIMARY,PRIMARY,role_id,NO,ADD PRIMARY KEY (`role_id`),Auth & RBAC
roles,uk_roles_code,UNIQUE,role_code,NO,ADD UNIQUE KEY `uk_roles_code` (`role_code`),Auth & RBAC
role_permissions,PRIMARY,PRIMARY,role_id|permission_id,NO,"ADD PRIMARY KEY (`role_id`,`permission_id`)",Auth & RBAC
role_permissions,idx_rp_perm,INDEX,permission_id,YES,ADD KEY `idx_rp_perm` (`permission_id`),Auth & RBAC
